#  N   trapezoid     Simpsons      Gauss  
#-----------------------------------------
2.648360e+00  -6.258624e+00  -7.097897e+00  -7.839390e+00
2.650308e+00  -6.258624e+00  -6.692373e+00  -6.963499e+00
2.652246e+00  -6.130844e+00  -6.313417e+00  -6.692373e+00
2.654177e+00  -6.130844e+00  -6.692373e+00  -6.759172e+00
2.656098e+00  -6.571210e+00  -6.963499e+00  -6.114175e+00
2.658011e+00  -6.571210e+00  -6.571210e+00  -6.571210e+00
2.659916e+00  -6.258624e+00  -6.571210e+00  -7.097897e+00
2.661813e+00  -6.440455e+00  -6.313417e+00  -6.963499e+00
2.663701e+00  -6.078749e+00  -6.571210e+00  -6.407105e+00
2.665581e+00  -7.097897e+00  -7.097897e+00  -6.340092e+00
2.667453e+00  -6.258624e+00  -7.097897e+00  -6.340092e+00
2.669317e+00  -6.571210e+00  -6.258624e+00  -6.340092e+00
2.671173e+00  -6.190052e+00  -6.440455e+00  -6.440455e+00
2.673021e+00  -6.340092e+00  -5.906478e+00  -6.258624e+00
2.674861e+00  -6.340092e+00  -7.839390e+00  -6.571210e+00
2.676694e+00  -7.097897e+00  -6.692373e+00  -6.526726e+00
2.678518e+00  -6.526726e+00  -6.407105e+00  -6.759172e+00
2.680336e+00  -6.759172e+00  -6.526726e+00  -6.171001e+00
2.682145e+00  -6.571210e+00  -6.759172e+00  -6.963499e+00
2.683947e+00  -6.440455e+00  -6.692373e+00  -6.407105e+00
2.685742e+00  -6.190052e+00  -6.440455e+00  -6.114175e+00
2.687529e+00  -7.839390e+00  -5.906478e+00  -7.839390e+00
2.689309e+00  -6.440455e+00  -6.407105e+00  -6.759172e+00
2.691081e+00  -6.407105e+00  -5.978108e+00  -6.692373e+00
2.692847e+00  -6.759172e+00  -7.097897e+00  -6.692373e+00
2.694605e+00  -6.340092e+00  -6.692373e+00  -6.963499e+00
2.696356e+00  -7.839390e+00  -6.526726e+00  -6.258624e+00
2.698101e+00  -7.097897e+00  -6.313417e+00  -6.571210e+00
2.699838e+00  -6.032238e+00  -6.340092e+00  -6.407105e+00
